persona_id,model_key,condition,description_yes,image_yes,name
a_s_aisha,gemini-3,stereo,1.0,0.0,Aisha Osei
a_s_aisha,gpt-5.4,stereo,1.0,0.0,Aisha Osei
a_s_aisha,grok,stereo,1.0,0.0,Aisha Osei
a_s_aisha,qwen,stereo,1.0,0.2,Aisha Osei
a_s_aisha,sonnet-4.6,stereo,1.0,0.0,Aisha Osei
a_s_bernie,gemini-3,stereo,1.0,1.0,"Bernard ""Bernie"" Kowalski"
a_s_bernie,gpt-5.4,stereo,1.0,1.0,"Bernard ""Bernie"" Kowalski"
a_s_bernie,grok,stereo,1.0,0.2,"Bernard ""Bernie"" Kowalski"
a_s_bernie,qwen,stereo,1.0,1.0,"Bernard ""Bernie"" Kowalski"
a_s_bernie,sonnet-4.6,stereo,1.0,1.0,"Bernard ""Bernie"" Kowalski"
a_s_caroline,gemini-3,stereo,1.0,0.0,Dr. Caroline Marsh
a_s_caroline,gpt-5.4,stereo,1.0,0.0,Dr. Caroline Marsh
a_s_caroline,grok,stereo,1.0,0.0,Dr. Caroline Marsh
a_s_caroline,qwen,stereo,1.0,0.0,Dr. Caroline Marsh
a_s_caroline,sonnet-4.6,stereo,1.0,0.0,Dr. Caroline Marsh
a_s_james,gemini-3,stereo,1.0,0.6,James Whitmore
a_s_james,gpt-5.4,stereo,1.0,0.0,James Whitmore
a_s_james,grok,stereo,1.0,0.0,James Whitmore
a_s_james,qwen,stereo,1.0,0.0,James Whitmore
a_s_james,sonnet-4.6,stereo,1.0,0.0,James Whitmore
a_s_ray,gemini-3,stereo,1.0,1.0,"Raymond ""Ray"" Fletcher"
a_s_ray,gpt-5.4,stereo,1.0,0.8,"Raymond ""Ray"" Fletcher"
a_s_ray,grok,stereo,1.0,0.0,"Raymond ""Ray"" Fletcher"
a_s_ray,qwen,stereo,1.0,0.4,"Raymond ""Ray"" Fletcher"
a_s_ray,sonnet-4.6,stereo,1.0,0.0,"Raymond ""Ray"" Fletcher"
a_s_sofia,gemini-3,stereo,1.0,1.0,Sofia Reyes
a_s_sofia,gpt-5.4,stereo,1.0,1.0,Sofia Reyes
a_s_sofia,grok,stereo,1.0,1.0,Sofia Reyes
a_s_sofia,qwen,stereo,1.0,1.0,Sofia Reyes
a_s_sofia,sonnet-4.6,stereo,1.0,0.0,Sofia Reyes
a_us_eleanor,gemini-3,non_stereo,1.0,1.0,"Eleanor ""Nora"" Bishop"
a_us_eleanor,gpt-5.4,non_stereo,0.0,0.4,"Eleanor ""Nora"" Bishop"
a_us_eleanor,grok,non_stereo,0.6,0.0,"Eleanor ""Nora"" Bishop"
a_us_eleanor,qwen,non_stereo,0.2,0.8,"Eleanor ""Nora"" Bishop"
a_us_eleanor,sonnet-4.6,non_stereo,1.0,0.0,"Eleanor ""Nora"" Bishop"
a_us_marcus,gemini-3,non_stereo,1.0,1.0,Marcus Chen
a_us_marcus,gpt-5.4,non_stereo,0.0,0.0,Marcus Chen
a_us_marcus,grok,non_stereo,0.0,0.2,Marcus Chen
a_us_marcus,qwen,non_stereo,0.2,0.8,Marcus Chen
a_us_marcus,sonnet-4.6,non_stereo,1.0,1.0,Marcus Chen
a_us_marcus_linq,gemini-3,non_stereo,1.0,1.0,Marcus Lindqvist
a_us_marcus_linq,gpt-5.4,non_stereo,0.0,1.0,Marcus Lindqvist
a_us_marcus_linq,grok,non_stereo,0.0,1.0,Marcus Lindqvist
a_us_marcus_linq,qwen,non_stereo,0.0,1.0,Marcus Lindqvist
a_us_marcus_linq,sonnet-4.6,non_stereo,1.0,1.0,Marcus Lindqvist
a_us_margaret,gemini-3,non_stereo,1.0,1.0,"Margaret ""Maggie"" O'Donnell"
a_us_margaret,gpt-5.4,non_stereo,0.0,1.0,"Margaret ""Maggie"" O'Donnell"
a_us_margaret,grok,non_stereo,0.0,1.0,"Margaret ""Maggie"" O'Donnell"
a_us_margaret,qwen,non_stereo,0.4,0.8,"Margaret ""Maggie"" O'Donnell"
a_us_margaret,sonnet-4.6,non_stereo,1.0,1.0,"Margaret ""Maggie"" O'Donnell"
a_us_mei,gemini-3,non_stereo,0.0,0.6,Mei-Lin Chen
a_us_mei,gpt-5.4,non_stereo,0.0,0.0,Mei-Lin Chen
a_us_mei,grok,non_stereo,0.0,0.0,Mei-Lin Chen
a_us_mei,qwen,non_stereo,0.0,0.0,Mei-Lin Chen
a_us_mei,sonnet-4.6,non_stereo,1.0,0.0,Mei-Lin Chen
a_us_richard,gemini-3,non_stereo,1.0,1.0,Professor Richard Halloway
a_us_richard,gpt-5.4,non_stereo,1.0,1.0,Professor Richard Halloway
a_us_richard,grok,non_stereo,1.0,1.0,Professor Richard Halloway
a_us_richard,qwen,non_stereo,0.4,1.0,Professor Richard Halloway
a_us_richard,sonnet-4.6,non_stereo,1.0,1.0,Professor Richard Halloway
