pid,persona_suffix,persona_id,condition,description_answer,description_yes,image_answer,image_yes,relatable_answer,usefulness_answer,is_stereo
6a0e0801d8ded44a65adf91e,marcus,a_us_marcus,non_stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat disagree,False
6a0e0801d8ded44a65adf91e,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6a0e0801d8ded44a65adf91e,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
6a0e0801d8ded44a65adf91e,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat agree,True
6a0e0801d8ded44a65adf91e,sofia,a_s_sofia,stereo,No,0.0,No,0.0,Somewhat disagree,Neither agree nor disagree,True
6a0e0801d8ded44a65adf91e,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Neither agree nor disagree,Somewhat disagree,True
6a00c9c6e751e2284f327b2b,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a00c9c6e751e2284f327b2b,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,False
6a00c9c6e751e2284f327b2b,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,False
6a00c9c6e751e2284f327b2b,sofia,a_s_sofia,stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,True
6a00c9c6e751e2284f327b2b,caroline,a_s_caroline,stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,True
6a00c9c6e751e2284f327b2b,james,a_s_james,stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,True
69ea127be7c58529e1ee223a,eleanor,a_us_eleanor,non_stereo,No,0.0,No,0.0,Strongly disagree,Neither agree nor disagree,False
69ea127be7c58529e1ee223a,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Somewhat disagree,Somewhat agree,False
69ea127be7c58529e1ee223a,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Strongly disagree,Somewhat agree,False
69ea127be7c58529e1ee223a,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat disagree,Strongly disagree,True
69ea127be7c58529e1ee223a,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat agree,Strongly disagree,True
69ea127be7c58529e1ee223a,ray,a_s_ray,stereo,Yes,1.0,No,0.0,Strongly disagree,Somewhat disagree,True
6a0c51209ccfd1a6e53663fa,mei,a_us_mei,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat disagree,False
6a0c51209ccfd1a6e53663fa,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,False
6a0c51209ccfd1a6e53663fa,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
6a0c51209ccfd1a6e53663fa,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat disagree,Neither agree nor disagree,True
6a0c51209ccfd1a6e53663fa,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Strongly disagree,Somewhat disagree,True
6a0c51209ccfd1a6e53663fa,aisha,a_s_aisha,stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,True
6a059c51ac58ebeefab58af0,eleanor,a_us_eleanor,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly agree,False
